number,title,file
1771,"Log loader, pillar, lower",poster/1771-log-loader-pillar-lower.png
1772,"Log loader, pillar, rotate clockwise",poster/1772-log-loader-pillar-rotate-clockwise.png
1773,"Log loader, pillar, rotate anticlockwise",poster/1773-log-loader-pillar-rotate-anticlockwise.png
1774,"Log loader, main boom, lower",poster/1774-log-loader-main-boom-lower.png
1775,"Log loader, main boom, raise",poster/1775-log-loader-main-boom-raise.png
1776,"Log loader, arm, extend",poster/1776-log-loader-arm-extend.png
1777,"Log loader, arm, retract",poster/1777-log-loader-arm-retract.png
1778,"Log loader, jib, extend",poster/1778-log-loader-jib-extend.png
1779,"Log loader, secondary boom, in",poster/1779-log-loader-secondary-boom-in.png
1780,"Log loader, secondary boom, out",poster/1780-log-loader-secondary-boom-out.png
1781,"Log loader, jib, retract",poster/1781-log-loader-jib-retract.png
1782,Log loading equipment,poster/1782-log-loading-equipment.png
1783,Loadgate,poster/1783-loadgate.png
1784,"Loadgate, down",poster/1784-loadgate-down.png
1785,"Loadgate, up",poster/1785-loadgate-up.png
1786,Side view of rotor (vertical axis),poster/1786-side-view-of-rotor-vertical-axis.png
1787,Unbalance (rotor side view),poster/1787-unbalance-rotor-side-view.png
1788,Correction plane in a rotor,poster/1788-correction-plane-in-a-rotor.png
1789,Unbalance (rotor end view),poster/1789-unbalance-rotor-end-view.png
1790,Compensation (arrows directed inwards),poster/1790-compensation-arrows-directed-inwards.png
1791,Component indication,poster/1791-component-indication.png
1792,Polar indication,poster/1792-polar-indication.png
1793,Indexing,poster/1793-indexing.png
1794,Angle of unbalance,poster/1794-angle-of-unbalance.png
1795,Position 1... 2...,poster/1795-position-1-2.png
1796,Add material,poster/1796-add-material.png
1797,Remove material,poster/1797-remove-material.png
1798,Stroboscopic lamp,poster/1798-stroboscopic-lamp.png
1799,Sine wave angle reference generator,poster/1799-sine-wave-angle-reference-generator.png
1800,Square wave angle reference generator,poster/1800-square-wave-angle-reference-generator.png
1801,Bearing vibrations,poster/1801-bearing-vibrations.png
1802,Static unbalance,poster/1802-static-unbalance.png
1803,Couple unbalance,poster/1803-couple-unbalance.png
1804,Dynamic unbalance,poster/1804-dynamic-unbalance.png
1805,Hydrocolloid connector,poster/1805-hydrocolloid-connector.png
1806,Spittoon with water circulation,poster/1806-spittoon-with-water-circulation.png
1807,"Dental patient chair, up",poster/1807-dental-patient-chair-up.png
